objectid,hr_uid,province,engname,frename,casecount,deaths,recovered,tests,totalpop2019,pop0to4_2019,pop5to9_2019,pop10to14_2019,pop15to19_2019,pop20to24_2019,pop25to29_2019,pop30to34_2019,pop35to39_2019,pop40to44_2019,pop45to49_2019,pop50to54_2019,pop55to59_2019,pop60to64_2019,pop65to69_2019,pop70to74_2019,pop75to79_2019,pop80to84_2019,pop85older,averageage_2019,medianage_2019,shape_area,shape_length,last_updated,sourceurl,globalid,retrieved_at
1,3537,ON,City of Hamilton Health Unit,Circonscription sanitaire de la cité de Hamilton,421,19,237,3758,576272,29112,29657,30046,31372,39353,44925,41624,38470,35351,35401,38522,42483,38399,30989,25528,17609,12640,14790,41.4,40.5,2166406493.71484,231804.445332187,1588109040000,https://www.hamilton.ca/coronavirus/status-cases,9217ed6b-3462-4814-8954-c6f9e2a98495,2020-04-29 14:16:03
2,3538,ON,Hastings and Prince Edward Counties Health Unit,Circonscription sanitaire des comtés de Hastings et Prince Edward,39,2,19,,144779,6581,6795,7268,7394,8067,8298,7544,7505,7513,8328,10364,12673,11905,10378,9289,6282,4381,4215,45.3,48.3,14671592243.3672,1030248.79200032,1588109040000,https://hpepublichealth.ca/the-novel-coronavirus-2019ncov/,e7c3696b-1ef1-45be-87dc-c0f6cf8b48cd,2020-04-29 14:16:03
3,3539,ON,Huron Perth Public Health Unit,Circonscription sanitaire du comté de Huron Perth,44,4,31,1413,136672,7636,7775,8082,8098,8788,8484,7173,7154,7188,7566,8799,10700,9905,8893,7319,5369,3812,3933,42.75,43.95,10703914978.043,505313.397656832,1588109100000,https://www.hpph.ca/en/health-matters/covid-19-in-huron-and-perth.aspx,b3413880-d660-43e0-b9e4-a327ef9812a8,2020-04-29 14:16:03
4,3540,ON,Chatham-Kent Health Unit,Circonscription sanitaire de Chatham-Kent,78,1,26,1652,105303,5260,5534,5959,6125,6308,6118,5640,5685,5408,6024,7071,8571,8304,7030,5993,4127,2990,3156,43.7,45.5,4677246433.74609,380729.77851018,1588109100000,https://ckphu.com/current-situation-in-chatham-kent-and-surrounding-areas/,afe08e09-8e88-47b9-b59a-ff67649ed91f,2020-04-29 14:16:03
5,3541,ON,"Kingston, Frontenac and Lennox and Addington Health Unit","Circonscription sanitaire de Kingston, Frontenac et Lennox et Addington",59,0,56,3848,206768,9349,9361,9770,9830,12903,16470,14908,13325,12155,12150,13629,16176,14361,12710,11036,7795,5242,5596,43.3,43.1,14227587907.9727,973283.835261994,1588109160000,https://www.kflaph.ca/en/healthy-living/novel-coronavirus.aspx,50f7da71-7eec-421a-8b99-a5fe028e141a,2020-04-29 14:16:03
6,3542,ON,Lambton Health Unit,Circonscription sanitaire de Lambton,178,14,84,1895,115985,5768,6003,6309,6327,7096,7297,6692,6343,6081,6386,7355,9011,9186,8108,6754,4615,3202,3452,43.7,45.1,5524806109.14453,531174.105212814,1588109220000,https://lambtonpublichealth.ca/2019-novel-coronavirus/,e99d80ec-adf9-430d-8f53-7b598301dd71,2020-04-29 14:16:03
7,3543,ON,"Leeds, Grenville and Lanark District Health Unit","Circonscription sanitaire du district de Leeds, Grenville et Lanark",300,40,,,153598,6934,7274,7756,8215,8578,8131,7317,7346,7639,9389,11435,13915,12878,11490,9868,6782,4326,4324,45.4,49.1,13416739104.1992,573199.45246924,1588109220000,https://healthunit.org/coronavirus/,76b4b133-0370-41c8-b224-d79176d97522,2020-04-29 14:16:03
8,3544,ON,Middlesex-London Health Unit,Circonscription sanitaire de Middlesex-London,84,32,201,,492971,25884,25931,26098,26740,34396,39284,36564,33114,30069,29052,31619,35856,31859,26581,22213,15626,10403,11682,41,39.8,6238902924.19531,445643.069442758,1588109280000,https://www.healthunit.com/novel-coronavirus,d5679110-d0f6-4117-b15f-d428f8a60e70,2020-04-29 14:16:03
9,6001,YT,Yukon,Yukon,11,0,8,953,39469,2063,2317,2023,2081,2458,2861,2923,3066,3030,2805,2518,2939,2932,2336,1437,894,438,348,39.8,39.9,2468405526215.15,9894475.57319035,1588112460000,https://yukon.ca/covid-19,7477eb99-72e4-4f79-9c98-70daf5dd9c81,2020-04-29 14:16:03
10,6101,NT,Northwest Territories,Territoires du Nord-Ouest,5,,5,16834,44078,3013,3162,3289,2413,3049,3663,3721,3561,3237,2773,2856,3342,2416,1579,838,568,339,259,35.4,34.6,8483915609249.05,71976911.2082409,1588103340000,https://www.hss.gov.nt.ca/en/services/coronavirus-disease-covid-19,e9785642-7570-488b-91cd-130b165f1459,2020-04-29 14:16:03
11,6201,NU,Nunavut,Nunavut,0,0,,580,37226,4145,3770,3399,2919,2969,3175,3088,2816,2149,2045,1895,1880,1342,770,478,234,86,66,29.3,27.2,22727133733356,311723888.125699,1588168740000,https://www.gov.nu.ca/health/information/covid-19-novel-coronavirus,e137c99d-1272-4c3f-8a1b-2faee23c73f9,2020-04-29 14:16:03
18,4831,AB,South Zone,South Zone,685,4,45,7749,326645,21810,21499,21272,20023,21129,22691,22548,22372,19972,18680,19037,22122,20774,16781,13385,9276,6377,6897,39.1,37.8,159545946574.836,2380370.13877675,1588112160000,https://www.alberta.ca/covid-19-alberta-data.aspx,025a4be2-0dc1-4481-bb88-132e6769db20,2020-04-29 14:16:03
19,4832,AB,Calgary Zone,Calgary Zone,3366,50,1214,59003,1732180,104145,103488,100608,92863,103647,128867,149840,154242,135099,122493,110502,112498,100726,75514,55778,34742,22975,24153,38.4,37.7,99289313578.8438,2406830.60696015,1588112160000,https://www.alberta.ca/covid-19-alberta-data.aspx,0c5da256-0d28-4515-9202-821412ea145e,2020-04-29 14:16:03
20,4833,AB,Central Zone,Central Zone,84,1,70,11431,478882,31210,30843,30499,28674,29515,30992,32475,33631,30134,28345,29516,34660,31939,24907,19248,13524,9224,9546,39.5,38.8,257341161752.156,3040030.82410074,1588112220000,https://www.alberta.ca/covid-19-alberta-data.aspx,9da78c48-68d1-463f-b2a2-3a444a4cee56,2020-04-29 14:16:03
21,4834,AB,Edmonton Zone,Edmonton Zone,486,11,363,40373,1461422,90414,87208,81560,76210,91781,119624,133577,127071,106224,92274,87948,93829,84557,65392,48195,31077,21474,23007,38.3,37,32669088823.375,1161498.5159286,1588112280000,https://www.alberta.ca/covid-19-alberta-data.aspx,8fa6402e-b097-4310-8ff4-9a57a36cf185,2020-04-29 14:16:03
22,4835,AB,North Zone,North Zone,202,14,102,10476,463412,37154,33514,31237,28193,30379,34049,35139,36095,31548,28644,27840,30733,26809,19008,13521,8973,5590,4986,36.3,35.3,1486833335237.99,6554329.73167627,1588112340000,https://www.alberta.ca/covid-19-alberta-data.aspx,92669b3e-a222-4207-a09a-9a8c015f0b2c,2020-04-29 14:16:03
23,1307,NB,Zone 7 (Miramichi area),Zone 7 (région de Miramichi),2,,,520,42440,1727,1840,1974,2155,2297,2067,1682,1971,2375,2950,3311,3629,3663,3431,2853,1854,1300,1361,46.7,50.3,21596115275.4297,973352.739194016,1588100220000,https://www2.gnb.ca/content/gnb/en/departments/ocmoh/cdc/content/respiratory_diseases/coronavirus.html,44c853b6-503f-45ff-ad6e-f6de69e6f7cf,2020-04-29 14:16:03
24,2401,QC,Région du Bas-Saint-Laurent,Région du Bas-Saint-Laurent,34,1,,,196158,8578,9507,9244,8718,9107,10358,9714,10926,11272,10380,12114,16619,18203,16349,13577,9027,5863,6602,46.6,50.1,51023214470.1406,1500904.08885413,1588100400000,https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/situation-coronavirus-in-quebec/,ed5b6a30-0f68-4599-a761-6dfb01797648,2020-04-29 14:16:03
25,2402,QC,Région du Saguenay—Lac-Saint-Jean,Région du Saguenay—Lac-Saint-Jean,273,20,,,276281,13045,13865,13639,12494,13729,15882,15043,17503,16796,14083,16837,23570,24971,20605,16876,11533,7706,8104,45.1,47.2,254061735341.527,3000149.77678577,1588100400000,https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/situation-coronavirus-in-quebec/,eac3fc7e-71a2-4c8b-8ef7-adaedd272237,2020-04-29 14:16:03
26,2403,QC,Région de la Capitale-Nationale,Région de la Capitale-Nationale,789,45,,,700684,35093,36648,32632,29503,37651,49639,49048,50966,47027,40404,43353,51508,50793,44552,37710,27551,17227,19379,43.3,43.1,42395434675.1367,1345502.37548665,1588100460000,https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/situation-coronavirus-in-quebec/,86c78678-676c-4e27-ba98-e40183335f49,2020-04-29 14:16:03
27,2404,QC,Région de la Mauricie et du Centre-du-Québec,Région de la Mauricie et du Centre-du-Québec,1176,93,,,518043,24111,26386,25198,23527,26519,30320,28206,31929,31223,27567,32852,41838,43321,38490,32533,22882,14468,16673,45.2,47.1,103413876591.223,2210870.45463688,1588100460000,https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/situation-coronavirus-in-quebec/,e4efb474-f888-4d6e-89fa-6983b1854141,2020-04-29 14:16:03
28,2405,QC,Région de l'Estrie,Région de l'Estrie,826,25,,,513429,25088,27477,26750,25335,28076,31982,29601,31888,31094,28664,33147,39718,40153,36015,30728,21092,12873,13748,43.8,44.9,26081665593.9375,1099065.40038171,1588100520000,https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/situation-coronavirus-in-quebec/,200a9a1f-cb75-41d6-ac40-2e77ebde21ea,2020-04-29 14:16:03
29,2406,QC,Région de Montréal,Région de Montréal,12487,1039,,,1856818,99345,96921,87108,84221,125947,157264,154422,154412,139395,119855,115368,115249,103328,86829,72373,53895,40649,50237,40.6,39,956257056.152344,247870.831034787,1588100520000,https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/situation-coronavirus-in-quebec/,8826f734-d4c3-4ec2-ac2f-5abd6c6ab2d4,2020-04-29 14:16:03
30,2407,QC,Région de l'Outaouais,Région de l'Outaouais,270,2,,,409421,21483,23533,22736,20949,23379,27266,26505,28016,27709,27226,28956,32164,29716,23743,18987,12392,7501,7160,41.4,42,71921385632.125,2091062.82246135,1588100580000,https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/situation-coronavirus-in-quebec/,889faae9-4e01-437d-a948-5e32d396b03b,2020-04-29 14:16:03
